formulaire029-equation019	h_{00}(t) = 2t^3-3t^2+1
200924-1312-214	 { \mbox { d } } ^ { { \cdots + A } } 
511_em_262	\lim_{n\rightarrow\infty}\frac{x^3}{n^3}\frac{2n^3+3n^2+n}{6}
formulaire033-equation037	u^{n} = \sum_{i=0}^{n-1} (-1)^{i}\beta^{n-1-i}\gamma^{i}
200923-131-346	 \int l dt 
formulaire003-equation032	h(r) = \int_{-\infty}^{\infty} g(u) e^{iru} du
32_em_220a	d = (24z^5+48cz^3+8z^3+24c^2z+16cz)
2009213-139-244	 \sqrt { \mbox { A } } 
2009213-137-156	 \sqrt { { \mu + 6 } } 
MfrDB2124	\int {x^{2}} dx = \frac{{x^{n + 1}}}{n + 1} + C
20_em_45	\sqrt{C_n}
MfrDB0101	- 16 ( 4 {a^{3}} + 27 {b^{2}} ) = 0
200926-131-142	 \mbox { H } 
2009212-1031-107	 { y } ^ { M } 
103_em_1	e^v = c(1)
200926-131-162	 \mbox { NB } 
200923-1553-31	 \frac { - b - \sqrt { b ^ 2 - 4 a c } } { 2 a } 
MfrDB0121	2 + 45
200925-1126-10	 \sqrt { \mbox { c } } 
2009213-137-150	 { \cdots + 6.2 } 
501_em_10	P_t=R_t-I_t=(1+i)P_{t-1}+(R_t-R_{t-1})
200923-131-22	 { M - F } 
formulaire039-equation034	x^a(p)
KME1G3_2_sub_16	\cos ( \frac \pi 2 + \alpha ) = - \sin \alpha
200925-1126-170	 \sqrt { { \phi + \mbox { u } } } 
RIT_2014_224	 \pm \frac {0.05} {50} = \pm 0.001 
MfrDB0022	\frac{1 - 2 + \frac{3}{4}}{{( 5 - 6 )^{7}}}
formulaire003-equation072	X^{max}
200923-1251-128	 { q \gt { \mbox { A } } ^ { d } } 
120_em_288	f(z)=a (z-z_0)+b+o(z-z_0)
formulaire017-equation058	(2\sqrt{21}-9 )x^{2}+x+3\sqrt{21}-13-(5\sqrt{7}-7\sqrt{3})i = 0
KME1G3_9_sub_18	\lim_{t \rightarrow \infty} ( 1 + \frac 1 t )^t = e
200924-1312-279	 { \mbox { F } + \alpha } 
formulaire025-equation028	y = ax^2
TrainData2_8_sub_51	\lim_{x \rightarrow \frac{\pi}{2} + 0} \tan x = - \infty
MfrDB3468	f ( x , y ) = f_{1} ( x y ) + f_{2} ( \frac{x}{y} )
200923-1251-78	 \frac { x_1 } { \frac { x_2 } { \frac { x_3 } { x_4 } } } 
rit_4285_0	 \cos x + 1 
TrainData2_16_sub_95	\sqrt{1 + \sqrt{2 + \sqrt{3 + \sqrt{4}}}}
MfrDB1299	\sin x = \sin ( x + 2 \pi k )
32_em_203	l-1
rit_42145_1	 \cos ^ {n} \theta 
200923-1251-13	 \sqrt { 1 + \sqrt { 1 + z ^ 2 } } 
35_em_14	x^3 (  x - ( 2x + 3 ) (2x - 3) )
105_Frank	\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}
formulaire023-equation069	f(a i + b j + c k ) = \frac{1 + i + j + k }{2} (a i + b j + c k ) \frac{1 - i - j - k }{2}
TrainData2_2_sub_33	\log_{2} 8 + \log_{3} 9 + \log_{4} 1 6
formulaire031-equation048	X \rightarrow k
MfrDB3242	{e^{\pi i}} + 1 = 0
KME2G3_14_sub_74	\int_{\log 3}^0 \frac 1 {e^t + 1} d t
73_leissi	\left| \frac{a x_0 + b y_0 + c}{\sqrt{a^2 + b^2}} \right|
formulaire027-equation062	f_1, \ldots, f_m
formulaire026-equation034	c_i \neq c_j
200923-1254-333	 \mbox { m } 
200923-1254-27	 { { P - \mbox { m } } \geq \left ( 3 \right ) } 
200923-1556-182	 \left [ { X - S } \right ] 
105_em_82	T_N = 100
501_em_0	\int\frac{1}{(ax^2+bx+c)^n}  dx
200923-1254-339	 \mbox { I } 
200926-131-200	{\Delta\neq{u\mbox{S}}}
79_caue	p = \sqrt{a^2 + b^2 - 2ab \cos A}
200923-1253-24	 \int e ^ { - z ^ 2 } d z = \mbox { erf } \left ( z \right ) 
MfrDB2590	\frac{b}{{a^{2}} - a} - \frac{b}{a - 1}
formulaire010-equation032	\alpha_{1} y_{1}+\ldots+\alpha_{i-1}y_{i-1}+\alpha_{i+1}y_{i+1}+\ldots+\alpha_{n+1}y_{n+1}
formulaire008-equation064	u_n=-3 n+1
MfrDB3821	| a - b | \leq | a - c | + | c - b |
TrainData2_25_sub_33	\log_{2} 8 + \log_{3} 9 + \log_{4} 1 6
513_em_324	\sqrt {a } + \sqrt {b}
200923-1251-35	 \frac { { { - \mbox { h } } - { \mbox { e } } _ { \mbox { C } } } } { \sum _ { { 6 \gt S } } { { \sin } ^ { G } \mbox { k } } } 
formulaire034-equation020	123 \pm 95 + 125
200922-947-47	 { p } _ { \mbox { x } } 
MfrDB1457	\log 5 + \log 4 x = 2
200923-1556-61	 k ^ 3 + 14 k ^ 2 - 132 k + 1789 
MfrDB3476	| \int\limits_{a}^{b} f ( x ) dx | \leq \int\limits_{a}^{b} | f ( x ) | dx
formulaire002-equation058	\frac{y_2x_2-y_1x_1}{n}
formulaire010-equation051	f(x) = x^{-3}
115_em_155	s=n + \alpha
200926-1617-246	 G 
KME2G3_17_sub_96	[ b^x \{ ( \frac a b )^x + 1 \} ]^{\frac 1 x}
73_user0	\left| \frac{a x_0 + b y_0 + c}{\sqrt{a^2 + b^2}} \right|
formulaire024-equation040	0 \pm 186 + 33 - 170 - 63
MfrDB2110	\sum_{i = 1}^{n} i = \frac{1}{2} n ( n + 1 )
101_Fabricio	S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2
200923-1253-75	 0.9 
MfrDB2005	x \lt \frac{c - b}{a}
KME2G3_26_sub_35	\log_2 \frac 1 2 + \log_4 \frac 2 4
200926-1617-164	 { \sqrt { \mbox { V } } } ^ { { m - \mbox { P } } } 
70_carlos	\cos \theta = \frac{x}{\sqrt{x^2 + y^2}}
TrainData2_14_sub_49	1 + \frac{1}{1 !} + \frac{1}{2 !} + \frac{1}{3 !} + \frac{1}{4 !}
200923-1251-99	 { Y - { \mbox { S } } _ { C } } 
KME2G3_1_sub_15	( x^3 - x^2 - x ) ( 2 x - 7 )
rit_4240_0	 57753336 
formulaire012-equation037	\lim_{x\rightarrow-\infty}f(x) = -\infty
200925-1126-58	 \left [ \sqrt { { \mbox { E } - \frac { E } { \sum { { I - \mbox { b } } } } } } \right ] 
200923-1556-246	 \sqrt { a } 
200924-1331-103	 \sqrt { y } 
105_carlos	\frac{b^2c^2 -4b^3d -4ac^3 +18abcd -27a^2d^2}{a^4}
31_em_192	\int_{a}^x f(x)dx
131_user0	f(x) = a_nx^n + a_{n-1}x^{n-1}+\cdots+a_1x + a_0
formulaire021-equation064	j^2 = -1-j
formulaire009-equation071	-a^2
MfrDB2569	a x + b \lt c
KME2G3_8_sub_39	\sin x - \sin y - \sin ( x - y )
MfrDB0463	\int\limits_{0}^{\infty} d x x
formulaire038-equation052	x^0, x^1, x^2, x^3
2009213-137-237	 \sum { \phi } 
formulaire008-equation058	a_ns_1 + a_{n-1} = 0
MfrDB2873	\lim_{n \to \infty} \frac{n !}{\sqrt{2 \pi n} ( \frac{n}{e} )} = 1
MfrDB3129	x_{1} = \frac{( 1 - \frac{2}{\sqrt{N - 1}} ) N}{L}
TrainData2_18_sub_33	\log_{2} 8 + \log_{3} 9 + \log_{4} 1 6
2009220-1327-5	 \left ( { - t } \right ) 
formulaire009-equation013	(x - 3)^2 = 4
formulaire013-equation026	X_2 = 21
TrainData2_11_sub_61	\int \left( 2^{x} - 3 e^{x} \right) d x
200923-131-24	 \int e ^ { - z ^ 2 } d z = \mbox { erf } \left ( z \right ) 
200923-131-63	 b 
MfrDB1728	\frac{{T_{1}^{2}}}{{T_{2}^{2}}} = \frac{{a_{1}^{3}}}{{a_{2}^{3}}}
formulaire039-equation012	e^{at}
200923-131-119	 \mbox { z } 
formulaire022-equation029	\cos x = 1- \frac{x^2}{2} + o(x^3)
formulaire053-equation029	\lim_{n\rightarrow\infty} \frac{1}{n} \sum_{k=0}^{n-1} f(X_k)
formulaire030-equation040	143 \div 178 \geq 0
110_herbert	\frac{1}{\frac{1}{2}\Big( \frac{1}{a} + \frac{1}{b}\Big)} = \frac{2ab}{a+b}
200923-1556-33	 Y 
110_danilo	\frac{1}{\frac{1}{2}\Big( \frac{1}{a} + \frac{1}{b}\Big)} = \frac{2ab}{a+b}
formulaire015-equation065	(120 - 69) - ((171 + 60) \times (24  97)) \neq 0
2009213-139-119	 \mbox { i } 
200926-1617-15	 { { - p } = \sum { \mbox { Y } } } 
formulaire049-equation030	((64 \times 22) + (66 + 129)) / (145 - (148 \times 132)) \neq 0
200923-131-130	 a 
formulaire025-equation023	\pi=\frac{2\pi}{2}
200923-1556-243	 { \theta + \mbox { t } } 
200924-1312-1	 \int _ { 0 } ^ { \infty } \frac { z } { \sqrt { z ^ 3 + 14 } } d z 
formulaire002-equation028	a_2=-1
200925-1126-137	 { - b } 
126_carlos	| x - \frac{p_n}{q_n} | \leq \frac{1}{q_nq_{n+1}} \lt  \frac{1}{q_n^2}
formulaire009-equation074	a_n=t_n - \frac{1}{2(n+1)}
127_alfonso	n! -1
200924-1312-266	 \mbox { j } \left ( \sum { i } \right ) 
MfrDB3054	\int\limits_{0}^{1} \int\limits_{0}^{1} {x^{2}} {y^{2}} dx dy
formulaire017-equation032	e _1, e _2, \ldots, e _n
formulaire002-equation035	4 \div 182 = 0.02
KME2G3_30_sub_38	\frac 2 {\frac {3 m - 2 n \times 9^n - 9^m} {2 n - 1}}
MfrDB2445	f ( x , y ) = \frac{x}{y} + x y
514_em_327	n \rightarrow \infty
KME2G3_4_sub_53	\lim_{x \rightarrow 0} \frac {( 1 - \cos x ) ( 1 + \cos x )} {x^2 ( 1 + \cos x )}
200922-949-78	 { \sqrt { g } } ^ { \left ( 1.1 \right ) } 
118_hirata	P(x) = \sum_{i=0}^{n} a_j x^j
KME1G3_8_sub_21	A = \sqrt {a + \frac 1 {\sqrt {a + \frac 1 {\sqrt a}}}} + \sqrt b
200926-1550-10	 { - \int \pi dI } 
129_em_542	\sqrt [3] a 
KME2G3_15_sub_74	\int_{\log 3}^0 \frac 1 {e^t + 1} d t
MfrDB2650	\sin ( x ) = 20 z
200924-1331-22	 08.3 
200924-1331-111	 R 
formulaire002-equation016	2^{s+13}
514_em_335	\frac{\sqrt{2-\sqrt{2}}}{2}
RIT_2014_44	 \sin 3 x - \sqrt {3} \cos 3 x = - \sqrt {3} 
MfrDB0328	4 + 2
200923-1556-65	 { \beta \mbox { r } } 
200923-1253-186	 83 
MfrDB1253	{2^{x + 1}} - {2^{x}} = 16
formulaire034-equation050	76 \pm (27 - 168) \div (192 + 138 - 159)
115_em_150	e_{s}+1,\ldots,e_r
126_em_472	(k_2,l_2)
MfrDB1494	\frac{{T_{1}^{2}}}{{T_{2}^{2}}} = \frac{{a_{1}^{3}}}{{a_{2}^{3}}}
formulaire027-equation026	2^3 + 2^2 + 2^0
MfrDB3005	\sum_{n = 1}^{\infty} {( \frac{\sum_{i = 1}^{n} a_{i}}{n} )^{p}} \lt {( \frac{p}{p - 1} )^{p}} \sum_{n = 1}^{\infty} {a_{n}^{p}}
formulaire037-equation071	(n-1)^{2}
117_caue	y^2 \pm \sqrt{u-p}\Bigg(y - \frac{q}{2(u-p)} \Bigg) + \frac{u}{2} = 0
128_em_539	f_2(M)=0
200924-1331-201	 z 
23_em_57	\sqrt{3^2+2^2}=\sqrt{13}
29_em_153	(a-b)^2=a^2-2ab+b^2
KME2G3_24_sub_74	\int_{\log 3}^0 \frac 1 {e^t + 1} d t
MfrDB3040	\lim_{x \to c} f ( x ) = f ( c )
formulaire045-equation068	ax^4+bx^3+cx^2+dx+e = 0
502_em_4	\frac{-\infty}{\infty}
89_bruno	x^\prime = x \cos \theta + y \sin \theta
200923-1556-153	 o 
formulaire031-equation046	\frac{a^2}{b^2} - 1
200923-131-61	 k ^ 3 + 14 k ^ 2 - 132 k + 1789 
103_em_26	(T_{fus})
formulaire005-equation006	e^{X}e^{Y}
200923-1553-14	 a + \sqrt { \frac { b + c } { d + f } } 
122_em_341	E_0
200923-131-133	 q \left ( \mbox { I } \right ) 
formulaire035-equation018	y = a\times x
200923-1254-55	 \frac { 1 } { \sin \left ( x \right ) + 1 } 
KME2G3_23_sub_28	z_1^2 + 1^z - z_2^2 + 2^z
124_em_417	\frac {\Delta V} {V_0}
124_edwin	\sum_{i=1}^k \frac{x^{a_i}}{1-x^{b_i}} = \frac{1}{1-x}
TrainData2_4_sub_1	x_{1} + x_{2} = x_{3}
MfrDB1719	\int {x^{n}} dx = \frac{{x^{n + 1}}}{n + 1} + C
formulaire027-equation045	160  (150 \times 157) = 0.01
MfrDB0079	\lim_{x \to a} \frac{f ( x )}{g ( x )} = \lim_{x \to a} \frac{f^{'} ( x )}{g^{'} ( x )}
200922-949-64	 \sum _ { { \mbox { g } \gt \alpha } } { \mbox { H } } 
formulaire014-equation072	u(0) = u_0
510_em_104	u^2 = {u_1}^2 + {u_2}^2 + {u_3}^2 \!
124_Frank	\sum_{i=1}^k \frac{x^{a_i}}{1-x^{b_i}} = \frac{1}{1-x}
MfrDB2148	\lim_{n \to \infty} | x_{n + 1} - x_{n} |
36_em_39	\frac{(3)(3+1)}{2} = 6 = 1 + 2 + 3
formulaire027-equation037	d_{2,-1}^{2} = - \frac{1 - \cos \theta}{2} \sin \theta
formulaire032-equation039	z = t^2
RIT_2014_190	 B \sin (n \pi y) _ {=} \sin (\pi y) + \frac {1} {5} \sin (3 \pi y) 
200923-1553-107	 { { E \lambda } - \sum { I } } 
MfrDB1672	{x^{y}} - {y^{x}}
2009212-1031-16	 \sin 5 
200924-1331-13	 \sqrt { 1 + \sqrt { 1 + z ^ 2 } } 
200923-1254-166	 1 
2009220-1327-51	 { { - \mbox { s } } + \frac { \mbox { T } } { L } } 
formulaire011-equation069	a(l)
MfrDB0556	\sqrt{2}
200922-1017-93	 6 
34_em_231	q_{eq}=1-p_{eq}
MfrDB2718	x - 2 = 5
92_miguel	y = \frac{x\prime\sin\theta+y\prime\sin(w\prime+\theta)}{\sin w}
65_miguel	x = r \cos \theta
MfrDB0126	3 + 3 = 6
KME2G3_7_sub_3	e_1^2 + e_2^3 + e_3^4 + e_4^5
200923-1254-305	 \int { - \mbox { w } } d \Delta 
115_em_149	q=\sum_{i=1}^sl_i^2-\left(\sum_{i=s+1}^rl_i^2\right)
MfrDB3211	\sum_{n = 0}^{\infty} f_{n} ( x )
MfrDB3051	x_{1} = \frac{( 1 - \frac{2}{\sqrt{N - 1}} ) N}{L}
106_em_103	(s_1, \ldots, s_m )
KME2G3_7_sub_74	\int_{\log 3}^0 \frac 1 {e^t + 1} d t
formulaire044-equation026	e=1
KME1G3_9_sub_26	\sin ( \alpha + \beta ) \sin ( \alpha - \beta ) = \sin^2 \alpha - \sin^2 \beta
TrainData2_24_sub_33	\log_{2} 8 + \log_{3} 9 + \log_{4} 1 6
106_fabio	y^4 + y + 1 = 0
127_rosario	n! -1
RIT_2014_83	 C = \frac {q _ {1}} {q _ {1 ^ {-}} q _ {2}} 
TrainData2_7_sub_61	\int \left( 2^{x} - 3 e^{x} \right) d x
formulaire058-equation028	10^k r_0
formulaire033-equation047	u_2=12,1
200923-1251-147	 { { - \mbox { b } } + { s \mbox { q } } } 
formulaire008-equation060	(176 + (115 \times 196))  67 = 339.04
518_em_423	 u_{\mathrm{m}} 
rit_42170_3	 \frac {\log _ {2} x} {\log _ {2} e} + \frac {\log _ {2} x} {\log _ {2} 10} 
130_Frank	\frac{1}{4}+\Bigg( \frac{1}{4} \Bigg)^2 + \Bigg( \frac{1}{4} \Bigg)^3+\cdots = \frac{1}{3}
200923-1253-211	 96 
MfrDB1863	\int \cos t d t = \sin t
formulaire027-equation056	\alpha + 0 = \alpha
200923-131-357	 \mbox { jt } 
formulaire016-equation026	f^{-1}(1)
formulaire003-equation012	\alpha(t)
KME2G3_0_sub_14	( y + 1 )^2 = y^2 + 2 y + 1
formulaire006-equation064	dt = \sqrt{\frac{l}{2g}}{\frac{d \theta}{\sqrt{\cos \theta -\cos \theta_0}}}
TrainData1_6_sub_12	e = \sum^{\infty}_{k = 0} \frac{1}{k !}
200923-1253-197	 o \left ( \sum { \gamma } \right ) 
formulaire011-equation003	n=34
MfrDB0982	{i^{2}} = x
200926-1550-26	 a + \frac { \sqrt { b + c } } { 2 } 
formulaire011-equation041	\frac{1}{2^2 \times 5^3}
200923-1553-54	 \log _2 \left ( 2 ^ 5 \right ) = 5 
516_em_399	\frac{3}{8}
23_em_63	F \ = \sqrt{F_x^2+F_y^2}
TrainData2_10_sub_33	\log_{2} 8 + \log_{3} 9 + \log_{4} 1 6
MfrDB1441	{3^{2}} - 1 = 8
200926-1550-135	 { Y \sum { \mbox { B } } } 
28_em_132	S/V
200926-1617-1	 \int _ { 0 } ^ { \infty } \frac { z } { \sqrt { z ^ 3 + 14 } } d z 
106_miguel	y^4 + y + 1 = 0
formulaire050-equation006	(x+2)^3
200926-131-69	 2 
MfrDB1783	1234 + 5678 \gt 90
MfrDB1485	\int {x^{n}} dx = \frac{{x^{n + 1}}}{n + 1} + C
MfrDB1744	\sin \frac{\pi}{4} = \cos \frac{\pi}{4} = \frac{\sqrt{2}}{2}
TrainData2_0_sub_49	1 + \frac{1}{1 !} + \frac{1}{2 !} + \frac{1}{3 !} + \frac{1}{4 !}
MfrDB1809	\frac{5}{x + 1} + \frac{5}{{x^{2}} + x}
formulaire034-equation035	117 \pm 85 \div 109
formulaire044-equation031	i = e
200922-949-40	 7 
formulaire023-equation042	e = \frac{(1 - j)}{2}
KME1G3_2_sub_25	\int_1^2 ( \frac {x^2 - 1} {x^2} ) e^{x + \frac 1 x} d x
formulaire024-equation059	y(x+kp)=(x+kp)^2-n
formulaire044-equation017	1\leq j\leq k
TrainData2_17_sub_1	x_{1} + x_{2} = x_{3}
MfrDB1974	\lim_{n \to \infty} x_{n} = L
509_em_94	b_1B_1 + b_2B_2 + b_3B_3
200923-1251-224	 { { \mbox { f } } _ { \mbox { z } } } ^ { q } \left ( j \right ) 
KME2G3_3_sub_96	[ b^x \{ ( \frac a b )^x + 1 \} ]^{\frac 1 x}
KME1G3_3_sub_24	a ( n ) = \sum_{k = 1}^n ( - 1 )^{n - k} k !
MfrDB1642	E = M {C^{2}}
MfrDB3497	( {y^{4}} - 1 )  ( {y^{2}} - 1 )
200925-1126-153	 \left [ \sqrt { \mbox { o } } \right ] 
122_em_332	|f(\frac{p}{q})|
MfrDB1045	2 + 3
RIT_2014_122	 18 z 
125_em_451	\pm w( r, t)
ritm_423_0	 \lambda e ^ {- \lambda e} 
MfrDB3822	\frac{{( | a | - | b | )^{2}}}{| a - b |}
TrainData2_11_sub_43	\frac{2 \tan \alpha}{1 - \tan^{2} \alpha}
200923-1254-87	 \left ( \mbox { LM } \right ) 
200926-131-167	 \mbox { vF } 
rit_42160_2	 \pm \sqrt {- 1} 
formulaire042-equation055	(85 / 3) \times 44 \leq 1247
200924-1312-63	 { \sqrt { { \mbox { x } + N } } } ^ { { { \mbox { B } } _ { P } + \mbox { l } } } 
18_em_1	\sqrt{48} 
MfrDB1142	1 + 1 = 2
formulaire014-equation060	17 \pm 88  194
KME1G3_6_sub_29	( a^2 + b^2 ) ( c^2 + d^2 ) \geq ( a c + b d )^2
200923-1251-254	 \left ( \left ( \mbox { V } \right ) \right ) 
MfrDB3506	l o g 5 + \log 4 x = 2
MfrDB2151	\lim_{n \to \infty} ( \sqrt{n + 2} - \sqrt{n} ) = 0
126_em_457	\mathrm ds^2 = \mathrm dr^2 + r^2\mathrm d\theta^2 + \mathrm dz^2
KME2G3_25_sub_95	\sqrt {1 + \sqrt {2 + \sqrt {3 + \sqrt 4}}}
MfrDB1775	\frac{{2^{5}}}{3 + 1}
200926-131-15	 { \cdots + { f } ^ { \mbox { j } } \left ( j \right ) } 
200926-1617-175	 { S \geq \sqrt { \mbox { k } } } 
MfrDB2814	tg 2 x = \frac{2 \cdot tg x}{1 - tg^{2} x}
TrainData2_6_sub_95	\sqrt{1 + \sqrt{2 + \sqrt{3 + \sqrt{4}}}}
TrainData2_20_sub_98	\lim_{x \rightarrow \frac{1}{4}} \frac{1 - 4^{x - \frac{1}{4}}}{1 - 4 x}
formulaire037-equation022	w_i = k - a z_i + b z
formulaire037-equation051	-3x
MfrDB0637	{x^{2}}
200923-1556-165	 { { - \theta } - { \mbox { w } } ^ { N } } 
MfrDB0808	\pi_{i} = \int\limits_{0}^{\infty} p ( x , i ) dx
formulaire027-equation063	c_{12}
formulaire029-equation045	((104 - 162) \times 152) \times (79 + 106) \geq -1630960
2009220-1327-95	 { - \sum { g } } 
200924-1331-1	 \int _ { 0 } ^ { \infty } \frac { z } { \sqrt { z ^ 3 + 14 } } d z 
508_em_81	c_1+c_2+c_3
formulaire005-equation046	\frac{1}{3}\frac{1}{3}\gamma
126_em_461	-X_t\mathrm dt
200923-1553-199	 3.1 
MfrDB3568	| a + i b | = \sqrt{{x^{2}} + {y^{2}}}
200923-131-214	 \mbox { G } 
formulaire025-equation047	\lim_{x \rightarrow a}f(x) = l
2009213-137-135	 \left [ n \right ] 
formulaire013-equation017	\alpha,\beta
MfrDB0369	x + 1
200923-1553-23	 \mbox { y } 
RIT_2014_172	 \frac {\sin (\pi) - \sin (0)} {\pi - 0} = 0 
formulaire039-equation043	(a_i)
formulaire012-equation045	119 \div (16 - 46) \leq -3
MfrDB1268	\int\limits_{0}^{1} \frac{{x^{3}}}{{e^{x}} - 1} dx = \frac{{\pi^{4}}}{15}
32_em_211	H_{cl}
formulaire054-equation035	178 - 64 + 21 \leq 93
200923-1556-88	 \left [ \mbox { y } \right ] 
formulaire035-equation036	(x-2)
200923-1254-190	 { 5 \sum { \mbox { i } } } 
formulaire034-equation037	s_1,\ldots,s_n
200924-1331-47	 \mbox { t } 
200924-1312-222	 \frac { f } { \left ( \mbox { d } \right ) } 
formulaire022-equation033	x_1x_2 = \frac ca
200926-131-81	 { \cdots - 6 } 
76_miguel	a = b \cos C + c \cos B
117_em_211	v_2 = {v_1}^2
200923-1556-70	 j 
KME2G3_9_sub_65	[ \frac 2 3 x^{\frac 3 2} ]_0^1
20_em_48	f(1.99)=3.99219201
MfrDB0019	h ( x , y ) = 2 {x^{2}} y - {y^{3}}
73_miguel	\left| \frac{a x_0 + b y_0 + c}{\sqrt{a^2 + b^2}} \right|
formulaire038-equation009	f(st)=f(ts)
28_em_129	-\frac 1 {\sqrt 2} (\frac b {\sqrt 2} - 0 )
MfrDB0320	{x^{2}} \times {y^{2}}
TrainData2_11_sub_49	1 + \frac{1}{1 !} + \frac{1}{2 !} + \frac{1}{3 !} + \frac{1}{4 !}
formulaire005-equation012	q(t_f) = q_f
formulaire007-equation046	0 X^3 + a_3 X^2 + (a_2 + a_3) X + (a_1 + a_2 + a_3)
200923-1553-139	 { - { N X } } 
126_david	| x - \frac{p_n}{q_n} | \leq \frac{1}{q_nq_{n+1}} \lt  \frac{1}{q_n^2}
formulaire011-equation025	111 - 180 - 197 \leq -265
200923-1253-284	 \sigma 
formulaire015-equation025	96 \pm 6 + 43 + 159 + 17 - 15
formulaire026-equation008	\frac{n_{1}}{a_{1}}- \frac{n_{2}}{a_{2}}=\frac{n_{1}-n_{2}}{c}
MfrDB3395	{( 1 + x )^{r}} \geq 1 + r x
formulaire049-equation045	22 + 77 \geq 98
formulaire037-equation041	f(r) = 0
2009213-137-188	 \mbox { a } 
formulaire022-equation072	1000 \times 1,1
2009213-139-23	 \left ( 2 \right ) 
200923-1254-326	 { T } ^ { { \mbox { c } + \mbox { L } } } \left ( \mbox { m } \right ) 
200924-1331-146	 \mbox { k } \left ( \mbox { B } \right ) 
KME2G3_5_sub_65	[ \frac 2 3 x^{\frac 3 2} ]_0^1
200925-1126-28	 { - G } 
18_em_0	x_k xx_k + y_k yx_k 
MfrDB1549	\frac{{x^{4}}}{{2^{3}}} - {( \frac{2}{x} )^{- 4}}
formulaire012-equation013	10^{3-4}
200923-1251-141	 { 0 e } 
formulaire012-equation018	\theta_2=-\theta_1
formulaire041-equation059	f(t)
formulaire037-equation021	x^2 + y^2 =1
98_user0	\cos \alpha = \frac{a}{\sqrt{a^2 + b^2 + c^2}}
101_mijail	S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2
RIT_2014_255	 m _ {k} = p _ {k} - p _ {k - 1} 
200923-1253-3	 Y 
formulaire032-equation068	z=x+i
200926-1550-30	 \frac { - b + \sqrt { b ^ 2 - 4 a c } } { 2 a } 
200923-1254-311	 \frac { \mbox { B } } { c } 
formulaire024-equation023	g={g_x}
MfrDB1577	\int\limits_{a}^{b} f ( x ) dx = F ( b ) - F ( a )
KME2G3_0_sub_53	\lim_{x \rightarrow 0} \frac {( 1 - \cos x ) ( 1 + \cos x )} {x^2 ( 1 + \cos x )}
formulaire002-equation038	9\times2^X
26_em_87	\int x\cos (x) dx = x\sin (x) - \int \sin (x) dx
MfrDB0470	{x^{2}} + {y^{2}} = 5
TrainData2_26_sub_61	\int \left( 2^{x} - 3 e^{x} \right) d x
MfrDB0005	\lim_{n \to \infty} \frac{{( n ! )^{\frac{1}{n}}}}{n} = e
200926-131-5	 t 
rit_42120_2	 \lim _ {x \rightarrow + \infty} \log _ {a} x = + \infty 
TrainData2_13_sub_20	a + b + c + d + e
2009210-947-198	 { 1 + \mbox { L } } 
2009220-1327-114	 { \mbox { d } \sum { h } } 
KME1G3_9_sub_10	\int_a^b \frac {\sqrt x} 2 d x
KME2G3_8_sub_65	[ \frac 2 3 x^{\frac 3 2} ]_0^1
MfrDB1954	\int\limits_{0}^{1} \sqrt{x} dx
KME2G3_0_sub_95	\sqrt {1 + \sqrt {2 + \sqrt {3 + \sqrt 4}}}
200923-131-239	 0.8 
formulaire027-equation040	103 \pm 144 + 113 + 27
formulaire004-equation029	(p,l)
2009210-947-30	 \frac { - b + \sqrt { b ^ 2 - 4 a c } } { 2 a } 
200923-1253-84	 \frac { x } { a + \frac { x } { b - \frac { x } { c } } } 
2009212-952-95	 { 7 X } 
MfrDB0014	{( a + b )^{2}} = {a^{2}} + 2 a b + {b^{2}}
TrainData2_4_sub_15	\left( x^{3} - x^{2} - x \right) \left( 2 x - 7 \right)
rit_4265_2	 \frac {x} {x} 
76_Frank	a = b \cos C + c \cos B
formulaire008-equation036	f(x_0) = a_0
RIT_2014_68	 e ^ {- t} \cos 2 ^ {t} 
200923-1254-4	 Y 
formulaire001-equation032	\sum v_n
RIT_2014_2	 \lim\limits _ {x \rightarrow c} f (x) = L 
115_em_152	u\mathrm dv= \mathrm d(uv)-v\mathrm du
MfrDB1323	\sqrt{{x^{2}}} = | x |
RIT_2014_96	 N + 233 = 236 
121_em_318	\frac{P}{640}
200924-1331-270	 { - { { H } ^ { { \mbox { v } - \mbox { a } } } \mbox { bM } } } 
formulaire003-equation041	X_{n+k}
formulaire029-equation061	\sqrt{b^2-4ac}
85_Frank	\Bigg(a\frac{1-t^2}{1+t^2},\frac{2bt}{1+t^2}\Bigg)
MfrDB0945	1 = 2 - 1
121_em_315	\frac{S_{a}}{S_{r}}
formulaire036-equation022	s^2+st = 1
200926-1550-62	 \left ( \sin \left ( x \right ) ^ 2 + 3 \cos \left ( x \right ) ^ 2 \right ) ^ 4 
2009213-139-104	 { - \frac { { \sum { \gamma } - \int X d \beta } } { \sqrt { z } } } 
formulaire018-equation064	1+\log_3(2)
KME2G3_13_sub_74	\int_{\log 3}^0 \frac 1 {e^t + 1} d t
formulaire007-equation055	(154  (93  140)) \times 112 \geq 25964
formulaire030-equation005	148 \times 133 \leq 19684
